Neighborhood,Born in New York State,Car-free commute (% of commuters),Disabled population,FHAVA-backed home purchase loans (% of home purchase loans),Foreign-born population,Higher-cost home purchase loans (% of home purchase loans),Higher-cost refinance loans (% of refinance loans),"Home purchase loan rate (per 1,000 properties)",Home purchase loans in LMI tracts (% of home purchase loans),Home purchase loans to LMI borrowers (% of home purchase loans),Homeownership rate,Households with children under 18 years old,"Housing choice vouchers (% of occupied, privately owned rental units)",Housing units,Income diversity ratio,"Index of housing price appreciation, 1 family building","Index of housing price appreciation, 2-4 family building","Index of housing price appreciation, 5+ family building","Index of housing price appreciation, all property types","Index of housing price appreciation, condominium",Labor force participation rate,Mean travel time to work (minutes),Median household income (2018$),"Median household income, homeowners (2018$)","Median household income, renters (2018$)","Median rent, 2- and 3-bedrooms (2018$)","Median rent, all (2018$)","Median rent, asking","Median rent, recent movers (2018$)","Median rent, studios and 1-bedrooms (2018$)","Median sales price per unit, 1 family building (2018$)","Median sales price per unit, 2-4 family building (2018$)","Median sales price per unit, 5+ family building (2018$)","Median sales price per unit, condominium (2018$)",Moderately rent-burdened households,"Moderately rent-burdened households, low income","Moderately rent-burdened households, moderate income","Notices of foreclosure rate (per 1,000 1-4 family and condo properties)","Notices of foreclosure, all residential properties","Notices of foreclosure, initial, 1-4 family and condo properties","Notices of foreclosure, repeat, 1-4 family and condo properties",Percent Asian,Percent Hispanic,Percent black,Percent white,Population,Population aged 25+ without a high school diploma,Population aged 65+,"Population density (1,000 persons per square mile)",Poverty rate,"Poverty rate, population aged 65+","Poverty rate, population under 18 years old","Pre-foreclosure notice rate (per 1,000 1-4 family and condo properties)","Pre-foreclosure notices, 1-4 family and condo properties",Private eviction filings,Private eviction filings per 1000 private rental units,"Properties entering REO, 1-4 family",Public housing (% of rental units),Racial diversity index,"Refinance loan rate (per 1,000 properties)",Rental units affordable at  30% AMI (% of recently available units),Rental units affordable at  80% AMI (% of recently available units),Rental units affordable at 120% AMI (% of recently available units),Rental vacancy rate,Residential units within 12 mile of a subway station,Residential units within 14 mile of a park,"Sales volume, 1 family building","Sales volume, 2-4 family building","Sales volume, 5+ family building","Sales volume, all property types","Sales volume, condominium","Serious crime rate (per 1,000 residents)","Serious crime rate, property (per 1,000 residents)","Serious crime rate, violent (per 1,000 residents)","Serious housing code violations (per 1,000 privately owned rental units)",Severe crowding rate (% of renter households),Severely rent-burdened households,"Severely rent-burdened households, low income","Severely rent-burdened households, moderate income",Single-person households,"Students performing at grade level in English language arts, 4th grade","Students performing at grade level in math, 4th grade","Total housing code violations (per 1,000 privately owned rental units)",Unemployment rate,Units authorized by new residential building permits,Units issued new certificates of occupancy
Greenpoint/Williamsburg,46.7,84.4,6.8,0.0,24.9,0.0,1.7000000000000002,27.7,1.0,15.7,15.8,19.5,8.2,69834,7.7,583.0,648.8,718.5,455.4,NaN,71.4,34.6,78070,83030,77200,1540,2000,2980,2300,1700,2420290,734840,383850,947740,26.7,26.6,35.6,5.6,109,45,47,7.0,21.6,3.6,64.5,152002,15.0,11.5,36.8,23.3,28.7,40.1,20.1,328,1265,22.0,0,11.1,0.53,6.2,3.5,25.8,51.7,2.3,92.2,89.0,16,104,70,981,791,13.3,9.7,3.6,24.4,3.7,26.7,47.3,7.4,29.9,42.6,41.1,150.3,5.49,534,2311
Fort Greene/Brooklyn Heights,48.9,90.9,8.7,0.0,18.8,0.2,0.30000000000000004,37.1,2.0,12.1,33.0,21.4,2.2,64915,6.1,425.5,520.2,626.5,454.9,252.9,71.4,35.1,94330,138110,78780,1580,1920,3000,2440,1810,3821520,922260,578320,1401220,21.7,24.3,33.6,4.5,59,21,30,9.0,14.9,25.8,47.2,135444,10.3,10.7,43.5,14.9,12.9,17.8,26.5,300,1143,29.9,1,11.1,0.68,12.9,3.8,18.6,44.9,2.5,94.4,97.4,31,74,32,931,794,19.5,14.0,5.6,17.2,3.7,18.2,43.4,9.3,39.5,53.1,45.1,84.6,5.55,1364,2665
Bedford Stuyvesant,57.8,78.2,8.8,2.3,18.4,0.30000000000000004,0.4,22.2,0.7000000000000001,59.1,23.8,29.2,8.7,58014,6.8,406.7,430.6,581.8,409.6,451.3,64.0,42.0,52900,111590,38420,1220,1240,2400,1700,1090,917160,547750,270050,789780,25.5,28.4,30.9,20.5,339,134,162,2.7,19.4,48.8,26.6,142027,16.3,10.3,61.8,24.4,17.4,36.0,79.1,1145,3965,87.4,2,18.8,0.65,17.3,8.3,47.8,89.6,5.4,87.7,94.2,35,334,48,654,237,17.5,10.2,7.3,70.9,3.6,30.2,42.1,1.2,29.7,31.3,23.1,340.4,4.73,597,807
Bushwick,44.7,82.2,7.0,5.2,30.3,0.9,2.6,15.2,1.7000000000000002,97.4,12.9,30.3,4.5,51437,7.0,453.6,372.1,581.2,409.2,351.5,68.1,41.3,51620,87850,49380,1390,1460,2530,1780,1130,881500,423760,233540,662740,26.4,26.7,26.4,20.8,167,58,86,5.6,53.9,17.0,21.5,140474,24.8,7.4,55.4,27.1,39.7,39.7,91.2,631,1500,44.7,5,4.5,0.63,15.0,7.1,45.5,83.1,3.7,97.9,76.5,12,162,54,284,56,13.8,8.4,5.5,92.7,4.3,31.2,46.0,3.7,26.0,28.0,27.8,421.3,5.23,561,427
East New York/Starrett City,58.4,76.6,7.3,47.9,31.5,12.1,1.9,22.0,14.6,58.5,21.9,37.3,12.8,65828,5.7,286.3,268.6,352.5,273.5,194.4,58.1,42.6,37490,68350,31270,1260,1250,2000,1310,980,427840,276420,154610,308780,26.2,30.9,10.0,32.5,590,240,320,3.8,38.2,52.8,3.9,176471,15.6,11.1,29.1,24.7,21.3,31.7,110.3,1900,6796,171.0,20,16.7,0.5700000000000001,18.0,15.0,81.0,98.6,5.1,71.2,85.4,100,385,32,550,33,17.1,9.0,8.1,111.3,4.8,32.2,41.3,0.0,32.0,29.9,24.5,525.9,8.98,672,564
Park Slope/Carroll Gardens,49.2,86.3,6.1,0.1,16.8,0.1,0.4,34.2,0.30000000000000004,2.3,42.8,32.2,1.4,50322,4.9,415.4,501.8,660.6,480.2,293.3,76.4,39.2,137370,177290,111460,2210,2280,2800,2430,1970,2679780,1053040,414000,1306450,16.4,27.0,47.5,1.8,24,15,9,7.2,17.2,6.1,63.9,116209,6.3,9.9,29.0,7.8,10.6,5.0,18.5,247,424,13.7,0,12.3,0.55,12.2,2.0,9.0,42.5,2.3,91.0,85.5,40,177,27,624,380,10.6,8.1,2.5,18.2,2.7,16.8,46.5,7.7,26.6,69.8,63.3,89.7,4.2,156,904
Sunset Park,41.7,79.8,6.2,0.0,44.5,3.7,3.3,20.2,4.5,39.5,29.9,40.9,2.9,46064,6.3,524.4,454.5,405.9,441.1,456.3,64.2,42.8,57870,98330,49210,1470,1470,2380,1490,1190,1331930,585970,225890,818310,24.3,31.7,18.7,4.8,56,24,29,32.7,39.9,2.4,22.7,144332,37.5,10.7,36.0,22.1,29.1,27.4,27.6,307,713,26.1,0,0.0,0.68,10.4,6.1,62.3,92.6,2.4,94.4,77.5,27,189,39,385,130,8.5,5.3,3.2,41.1,9.1,32.9,50.4,0.30000000000000004,19.6,44.1,47.0,201.5,6.69,255,96
Crown Heights/Prospect Heights,49.2,84.9,9.5,3.2,28.5,1.3,0.5,30.6,1.6,37.1,19.8,24.8,5.4,60247,6.8,582.4,440.2,492.3,445.9,367.3,69.8,42.0,61250,127500,48140,1330,1270,2500,1800,1160,978310,484060,264550,914650,23.6,30.4,19.6,19.2,144,52,77,5.6,11.7,55.7,24.1,141725,18.6,10.8,63.8,20.0,23.6,29.3,53.9,362,2943,87.7,7,10.3,0.61,15.3,4.9,39.9,81.3,4.5,98.2,76.7,17,125,38,540,360,12.1,6.6,5.5,75.0,2.7,28.6,45.2,1.3,34.5,39.5,29.8,368.5,6.75,236,723
South Crown Heights/Lefferts Gardens,41.5,82.6,5.6,4.6,41.1,2.0,2.3,18.5,4.0,63.6,17.3,26.4,3.5,48000,5.3,473.5,386.1,685.5,378.5,541.4,64.9,45.3,52050,79140,46360,1370,1300,2180,1550,1190,1268740,502740,288740,602480,25.8,31.6,13.2,18.6,114,47,62,1.8,9.8,60.2,25.5,113212,11.4,15.3,66.3,19.1,17.2,27.5,78.7,461,3741,118.7,0,0.9,0.56,16.1,6.3,50.9,91.5,3.6,90.5,70.5,44,76,17,175,38,12.4,7.0,5.4,84.7,4.3,32.6,47.8,0.0,34.7,36.8,25.1,439.3,7.8,193,448
Bay Ridge/Dyker Heights,50.8,68.1,6.6,0.2,38.8,2.8,1.1,19.8,7.2,11.3,42.0,28.4,1.1,52652,5.1,321.6,347.3,449.1,326.1,143.9,63.8,45.5,69990,98890,57470,1560,1480,1900,1520,1320,993590,587660,241380,636920,22.5,28.5,15.2,3.3,55,25,24,28.2,15.8,3.1,50.9,123488,18.6,17.1,32.1,15.2,18.5,15.7,23.0,340,956,33.6,3,0.0,0.64,8.6,3.8,57.5,97.5,5.4,74.4,59.8,155,163,23,378,37,6.8,5.2,1.6,23.1,6.1,30.2,55.4,0.1,31.0,60.8,62.6,133.7,4.73,1,27
Bensonhurst,38.9,68.7,6.2,0.5,55.6,3.7,3.8,17.8,9.2,58.2,36.7,37.3,4.7,69030,4.9,342.5,341.8,421.2,332.3,239.6,61.5,47.4,54510,92590,41400,1430,1390,1750,1360,1150,828000,501210,251200,611440,26.6,31.6,8.3,3.1,67,21,42,38.9,15.5,1.8,40.4,205850,24.3,14.3,55.7,17.3,21.1,24.1,19.3,390,1442,33.4,0,0.0,0.66,6.9,3.3,75.3,98.7,2.3,86.5,46.0,92,362,10,551,87,6.2,4.2,2.0,22.7,5.5,32.8,47.8,0.0,19.4,58.3,60.4,117.1,6.1,149,71
Borough Park,62.2,65.8,6.1,0.30000000000000004,27.9,0.6000000000000001,2.9,17.4,4.3,76.7,37.7,41.1,13.4,45876,5.8,297.7,335.7,440.6,322.2,268.9,55.4,36.9,46230,88940,34530,1510,1450,1950,1530,1250,1120980,560490,264960,752310,23.1,26.5,19.4,12.2,227,72,142,15.7,12.0,1.8,68.9,146556,22.7,14.5,46.6,30.8,20.9,45.3,29.7,518,1164,31.3,0,0.0,0.49,10.2,1.9,60.9,93.0,2.6,91.5,39.6,87,196,15,487,189,4.5,3.3,1.3,30.5,9.8,45.6,59.2,1.3,22.9,44.8,50.9,165.4,5.22,157,199
Coney Island,37.3,71.2,13.3,1.7000000000000002,52.5,2.5,2.0,15.7,12.7,40.3,27.8,27.9,15.5,51108,8.2,318.0,254.2,397.9,289.5,299.5,53.0,45.7,36810,78020,24620,1190,1040,2000,1300,830,527370,326100,160160,560490,29.5,30.6,9.5,9.3,81,28,45,11.1,18.7,12.5,55.4,122009,19.3,23.7,35.5,24.8,36.5,26.2,27.2,214,1789,92.4,2,25.4,0.63,4.4,10.1,76.3,97.4,1.9,72.9,85.0,46,85,16,246,99,8.4,4.7,3.7,31.6,4.5,31.3,38.2,0.0,31.7,41.7,40.4,202.7,6.12,71,99
Flatbush/Midwood,48.1,70.3,7.1,0.9,39.5,0.30000000000000004,0.6000000000000001,19.6,6.1,39.5,23.9,29.2,6.4,60275,5.6,318.0,319.0,611.0,328.4,298.6,64.1,43.7,57680,110350,47960,1520,1420,1930,1550,1230,1222890,503170,203810,608390,24.4,31.1,11.7,10.7,112,32,71,8.8,15.0,28.9,44.2,150707,11.5,13.5,51.8,16.8,22.2,17.0,62.5,601,4794,110.8,2,0.0,0.6900000000000001,8.9,1.8,48.7,95.9,2.2,94.7,29.7,151,66,20,281,44,8.0,4.9,3.1,72.0,7.4,34.9,50.2,0.1,31.0,41.3,39.5,401.4,6.18,454,652
Sheepshead Bay,44.0,58.1,6.4,2.3,51.0,2.2,1.8,22.0,11.9,25.4,46.7,31.7,5.7,65241,5.3,267.0,275.7,311.1,262.2,545.2,58.9,49.0,62440,94190,44610,1490,1410,1800,1440,1220,805070,438200,279300,498070,26.7,36.2,14.7,7.7,175,73,98,20.8,8.0,5.2,63.7,171030,14.3,18.0,39.5,14.0,17.9,16.6,29.1,648,1360,47.4,9,7.1,0.54,8.8,2.4,59.5,94.1,2.7,58.1,65.6,252,249,9,663,153,7.8,5.6,2.2,27.8,4.6,31.7,46.3,0.8,25.9,54.1,57.2,172.8,5.16,200,527
Brownsville,62.2,79.5,11.5,42.1,26.2,15.0,1.9,13.6,4.6,95.5,15.7,25.2,11.1,52301,9.7,240.8,249.2,499.8,263.5,207.3,53.4,45.8,20640,62500,14150,1080,900,2150,1260,790,433110,281940,196980,484290,24.3,27.2,10.8,35.3,221,92,111,1.9,19.8,71.3,4.3,111511,19.4,12.2,43.0,39.9,38.5,36.5,125.7,724,3409,167.1,5,30.1,0.45,16.3,25.5,86.2,98.6,4.9,89.4,88.7,37,123,14,186,12,18.4,7.5,10.9,115.0,2.5,38.8,43.8,0.0,50.3,19.3,13.1,514.9,20.75,206,542
East Flatbush,42.1,72.1,6.7,35.5,51.0,8.7,1.8,16.9,4.9,45.3,34.7,28.7,4.3,57792,5.2,267.5,232.3,475.9,260.1,NaN,64.9,48.4,50290,79000,42680,1410,1310,1900,1350,1130,535010,275150,187360,545200,23.0,32.2,9.7,26.6,438,166,240,2.1,6.2,87.1,2.7,140087,11.9,16.0,45.5,13.7,11.2,19.5,125.0,1907,5223,127.5,16,2.2,0.24,17.5,4.7,81.7,100.0,3.9,58.1,38.3,125,214,24,374,11,12.4,6.2,6.1,103.8,3.0,34.7,47.6,0.4,33.2,36.4,26.7,525.3,5.86,461,213
Flatlands/Canarsie,53.2,56.1,5.2,26.2,40.0,8.4,2.4,21.1,5.7,2.0,56.9,34.7,2.5,75351,4.5,251.2,210.9,636.0,230.9,337.7,62.5,49.0,78110,102120,51150,1470,1430,1850,1510,1180,590550,310820,121860,340880,23.3,30.2,16.8,21.0,731,272,450,4.7,8.8,62.2,22.4,215637,10.4,15.3,17.0,8.9,7.0,14.0,109.2,3756,1677,70.2,31,15.5,0.55,16.8,7.3,68.2,99.4,3.4,12.7,72.5,472,413,2,947,60,9.3,6.0,3.3,37.9,4.2,28.6,46.8,0.5,21.8,45.6,42.3,160.4,5.33,9,10
Mott Haven/Melrose,55.7,77.4,20.9,30.0,29.6,6.7,4.2,11.1,12.1,100.0,5.3,39.3,15.0,55274,5.9,228.9,313.6,947.8,415.0,211.7,52.0,43.4,21370,73270,20150,950,990,1900,1080,700,456840,249930,182360,244580,26.4,30.3,9.1,12.2,34,15,12,0.30000000000000004,67.2,28.4,3.3,156357,41.0,8.7,31.9,44.2,43.2,58.6,95.0,210,4563,204.5,1,38.5,0.47000000000000003,8.8,22.5,91.6,99.1,1.9,100.0,99.8,14,26,13,66,13,25.6,12.0,13.6,73.9,4.3,32.5,36.0,0.0,34.2,24.6,21.9,364.0,13.54,1205,333
Hunts Point/Longwood,55.7,77.4,20.9,30.0,29.6,6.7,4.2,11.1,12.1,100.0,5.3,39.3,15.0,55274,5.9,245.0,247.9,540.9,246.7,110.5,52.0,43.4,21370,73270,20150,950,990,1750,1080,700,377060,231840,150860,181330,26.4,30.3,9.1,22.7,35,14,19,0.30000000000000004,67.2,28.4,3.3,156357,41.0,8.7,31.9,44.2,43.2,58.6,82.0,119,3505,219.3,0,3.8,0.47000000000000003,8.8,22.5,91.6,99.1,1.9,97.3,99.7,6,48,8,70,8,17.9,9.5,8.4,96.4,4.3,32.5,36.0,0.0,34.2,20.5,19.1,509.7,13.54,359,72
Morrisania/Crotona,53.4,74.4,19.5,53.4,32.3,12.3,1.7000000000000002,9.5,21.9,100.0,6.8,41.6,18.1,65863,6.2,255.7,175.8,425.5,203.2,95.1,58.2,47.0,26470,69690,23840,1040,1040,1750,1190,880,416800,215020,146170,259860,25.0,30.1,6.2,25.4,57,25,30,1.3,61.8,32.5,3.8,188075,36.6,10.3,43.0,35.8,35.4,45.3,102.6,222,5615,251.7,3,26.6,0.51,7.7,19.9,87.5,99.7,1.8,63.0,99.8,9,44,22,84,9,16.9,8.5,8.3,94.1,5.3,35.6,41.1,0.0,29.1,20.1,18.2,476.8,14.45,1062,613
Highbridge/Concourse,46.9,82.4,14.0,10.3,43.8,2.9,7.1,10.9,25.0,100.0,6.2,40.4,12.8,53018,5.6,420.4,225.2,546.3,311.1,121.0,61.4,44.1,31490,57830,29810,1190,1140,1650,1160,1070,496800,223350,162120,234390,28.1,29.1,3.5,27.8,41,19,20,1.0,68.8,27.7,1.3,149710,32.1,8.5,75.0,36.4,32.4,49.6,125.0,176,10957,241.4,2,3.6,0.45,4.5,13.5,88.1,97.9,2.2,96.3,99.4,8,44,35,88,1,14.6,7.7,6.9,120.2,8.7,39.8,46.5,0.0,27.8,25.8,24.0,695.6,12.52,592,356
Fordham/University Heights,45.4,80.0,13.8,54.8,46.4,12.9,6.3,10.2,3.2,100.0,3.7,47.3,19.4,47911,5.8,364.7,235.1,552.9,320.3,NaN,62.9,46.1,30740,68500,28690,1190,1190,1600,1190,1080,466230,249670,176520,0,25.5,28.8,4.1,27.2,48,17,27,1.8,71.1,24.4,1.0,148339,36.7,8.0,98.2,36.4,43.9,46.2,86.6,140,10341,250.3,4,11.9,0.43,5.3,11.3,89.4,98.8,2.4,98.3,99.3,14,43,26,83,0,13.8,6.0,7.7,125.4,7.7,41.7,49.5,0.0,26.2,27.0,22.5,705.9,15.97,152,222
Belmont/East Tremont,53.4,74.4,19.5,53.4,32.3,12.3,1.7000000000000002,9.5,21.9,100.0,6.8,41.6,18.1,65863,6.2,177.4,191.6,633.4,246.9,86.6,58.2,47.0,26470,69690,23840,1040,1040,1700,1190,880,360240,214420,159230,238970,25.0,30.1,6.2,26.5,60,20,37,1.3,61.8,32.5,3.8,188075,36.6,10.3,43.0,35.8,35.4,45.3,109.3,236,5625,202.6,6,3.6,0.51,7.7,19.9,87.5,99.7,1.8,52.3,99.7,12,65,22,101,2,17.5,8.8,8.7,107.2,5.3,35.6,41.1,0.0,29.1,22.2,12.1,584.8,14.45,756,332
Kingsbridge Heights/Bedford,50.6,77.2,14.2,9.6,40.6,0.9,0.0,22.1,27.4,66.7,6.8,48.3,15.6,48439,5.7,286.9,211.1,537.1,288.6,NaN,65.8,46.8,36030,48210,34430,1400,1280,1500,1320,1150,433110,254570,186110,188530,26.4,33.1,5.8,15.9,27,11,16,7.1,74.1,11.3,5.1,143540,29.4,8.4,91.5,32.9,33.4,45.8,120.7,205,9219,204.1,2,0.5,0.43,8.9,4.5,83.2,98.8,2.4,99.5,89.8,21,48,24,94,1,12.5,6.4,6.1,96.9,8.1,37.3,46.1,0.6000000000000001,23.2,28.8,26.0,479.6,10.65,383,248
